index,disease_name,Description,supplement name,supplement image,buy link
0,Apple Scab Leaf,"Apple scab is a fungal disease caused by Venturia inaequalis, affecting apple trees and related plants. It manifests as dark, olive-green spots on leaves and fruit, leading to defoliation and reduced fruit quality. The disease thrives in wet, cool conditions and can significantly impact apple yields if not managed properly.",Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRfq9MLrPL9tFkuFbGb98fMGDdl67v4I2iDLYCVprdsdGaXURCl9UNEr8v_65X1hKrYF5NjSvB01HOGexg-3CJxjkVSu9zPNJ2AunP09vPa0gjEILskTILx&usqp=CAE,https://agribegri.com/products/buy-propiconazole--25-ec-systematic-fungicide-online-.php
,Apple rust leaf,"Apple rust leaf, primarily caused by Gymnosporangium juniperi-virginianae, presents as bright yellow to orange spots on apple leaves, with orange pustules on the underside. This fungal disease requires both apple and juniper hosts to complete its life cycle. Effective management includes removing nearby junipers, applying fungicides, and choosing resistant apple varieties.",Copper Fungicide,https://pestphobia.com/wp-content/uploads/2022/06/best-fungicide-for-cedar-apple-rust.jpg,
1,Apple Black rot,"Apple black rot, caused by the fungus Botryosphaeria obtusa, affects apple trees by producing dark, concentric rings on the fruit and causing leaf spots and limb cankers. The disease can lead to fruit rot, leaf drop, and overall tree decline. Effective management includes removing infected plant material and applying appropriate fungicides.",Magic FungiX For Fungal disease,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZZH2SUe7Hufpd49iFoF_04c96J-fZeywsYQXDb0gFerGOYyL7xPBxLN05LIx6s36u6C_qMvtescsDbrTEzniJp0yhfEsvJoTCMD7FDnI&usqp=CAE,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple Cedar apple rust,"Cedar apple rust is a fungal disease caused by Gymnosporangium juniperi-virginianae, requiring both apple trees and eastern red cedar trees to complete its life cycle. It appears as bright orange, gelatinous galls on cedar trees and yellow-orange spots with black specks on apple leaves, leading to defoliation and reduced fruit quality.",Katyayani All in 1 Organic Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2JQ-fAdtrzzmkSespqEpKwop3BnWntsLioVSgjy79mpxQVPSqoD4v9yfL0mtiFJvFnPqeE7EcefadhdEpc9uUTCZbROwOPsklL_XDMSLTpxOGvIcBMMFiBQ&usqp=CAE,https://agribegri.com/products/buy-organic-fungicide-all-in-1-online--organic-fungicide-.php
3,Apple healthy,"A healthy apple tree exhibits vibrant green leaves, free of spots or discoloration, indicating good photosynthetic activity. The tree produces firm, blemish-free fruit with a bright color and consistent size, suggesting proper nutrient uptake and pest resistance.",Tapti Booster Organic Fertilizer,https://rukminim1.flixcart.com/image/416/416/kc6jyq80/soil-manure/6/y/v/500-tapti-booster-500-ml-green-yantra-original-imaftd6rrgfhvshc.jpeg?q=70,https://agribegri.com/products/tapti-booster-500-ml--organic-fertilizer-online-in-india.php
4,Background_without_leaves,"A background without leaves on an apple tree could indicate several issues, such as disease, pest infestation, or environmental stress. Common diseases like apple scab, fire blight, or cedar apple rust can cause defoliation. Pests like aphids, caterpillars, or mites might damage leaves.",,,
5,Blueberry healthy,"A healthy blueberry plant features lush, vibrant green leaves without any signs of discoloration or spots. The plant produces abundant clusters of plump, uniformly colored berries, indicating proper nutrient uptake and successful pollination.",GreenStix Fertilizer,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSW_S8Mrnq0lLnXWCSPPlONkrPbkB8C3Gy9613OGD0ZaejmP5UNRf8LFnXUYJTM64BC1VYLYcYSbSSv-qVTV15RzDJZipvzsikme8oHSEtVX_ZKDiUQpnbHPQ&usqp=CAE,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry Powdery mildew,"Cherry powdery mildew, caused by the fungus Podosphaera clandestina, manifests as a white, powdery coating on the leaves, shoots, and fruit of cherry trees. Infected leaves may curl, become distorted, and drop prematurely, reducing the tree's vigor and fruit quality.",ROM Mildew Clean,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeHlqcksdF25o8mv-fYxNOrfJkp4Ov2hgVf01w2aCed1WbyL604ubLtPAlB7rfNoHRtxbTljQvA7P3VRh8LM0XndFHWDqvC4kC4w-DLQiknnS3vRzAxTpP&usqp=CAE,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry healthy,,Plantic Organic BloomDrop Liquid Plant Food ,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSpHb-xEa2rTSIEf5QtLMbax4zvRsTzD4kAwQ9Rcwr3AbDDQxUhmMmPJBVGLCAvczXrXAqwWKN-rReHwSR-XSGlsJRLvZOKRXHV-54uLhU_6EIuBq5BHXaAwg&usqp=CAE,https://plantic.in/products/organic-bloomdrop
8,Corn Cercospora leaf spot Gray_leaf_spot,,ANTRACOL FUNGICIDE,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTm0wIanaB9OdUkuH9IJ-bHG_qyungwi2lWnmkFmze9VFU1yeSuRO3wImAhPfEJwuBZXPSEf5QwZhieERwrlE5H7lg_8bvf&usqp=CAE,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn Common rust,,3 STAR M45 Mancozeb 75% WP Contact Fungicide,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT86avIdiTsKNdgo0Uss9r2tkn9pcx6VCGHeaubXDiR0u_fqqyXomgc1BBviREao7BM_eQiR6tbLCzUxG5VzS4du5DgwBVbtwSLuTEexpI&usqp=CAE,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
10,Corn leaf blight,"Corn leaf blight is a fungal disease that affects corn plants, typically caused by the pathogens Exserohilum turcicum or Setosphaeria turcica. It appears as large, tan to brown lesions with irregular margins on the leaves. Severe infections can lead to significant yield losses. Management strategies include planting resistant corn varieties, practicing crop rotation, and applying fungicides when necessary.",Glorias (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,https://gloriaexports.com/wp-content/uploads/2020/06/CARBENDAZIM-12-MANCOZEB-63-WP.png,https://agribegri.com/products/buy-carbendazim-12--mancozeb-63-online--buy-fungicide-online.php
11,Corn healthy,,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRC_8hhC12Kbw0e0w-afXO9kzWJHG1LchaIa66xnIpU6OmZLnY3OzCrRd2ilBS9bSjI9jQI0hJ6Z20SUk7nf7uCukqv77aTun147K5g2Ec&usqp=CAE,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
12,grape leaf black rots,,Southern Ag Captan 50% WP Fungicide,https://images-na.ssl-images-amazon.com/images/I/51s1IbUD-qL.jpg,https://www.cart2india.com/beneficial-insects/southern-ag-captan-50-wp-fungicide-8-oz/00000000004336428163
13,Grape Esca (Black_Measles),,ALIETTE FUNGICIDE,https://farmagritech.com/wp-content/uploads/2020/03/ALIETTE.png,https://farmagritech.com/product/aliette-fungicide/?attribute_pa_size=100gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=2578
